"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"83","1966","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","6115.0","45.21","18.41","12.96","4839.0","35.78","14.57","10.26","2571.0","19.01","7.74","5.45","13525.0","40.73","28.67"
"83","1967","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5130.0","52.02","15.47","10.77","2328.0","23.61","7.02","4.89","2403.0","24.37","7.25","5.05","9861.0","29.74","20.71"
"83","1968","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","7734.0","56.08","27.43","20.95","3229.0","23.41","11.45","8.75","2828.0","20.51","10.03","7.66","13791.0","48.9","37.35"
"83","1969","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","13962.0","64.93","44.27","31.95","4907.0","22.82","15.56","11.23","2635.0","12.25","8.35","6.03","21504.0","68.18","49.21"
"83","1970","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","17375.0","59.68","51.71","37.58","7500.0","25.76","22.32","16.22","4240.0","14.56","12.62","9.17","29115.0","86.65","62.96"
"83","1971","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","14230.0","62.13","41.52","30.62","5101.0","22.27","14.88","10.97","3571.0","15.59","10.42","7.68","22902.0","66.83","49.27"
"83","1972","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","14682.0","51.46","43.89","32.43","6719.0","23.55","20.09","14.84","7128.0","24.99","21.31","15.75","28529.0","85.29","63.02"
"83","1973","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","15133.0","55.41","46.36","33.55","6725.0","24.62","20.6","14.91","5452.0","19.96","16.7","12.09","27310.0","83.67","60.55"
"83","1974","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","10865.0","55.57","37.86","28.71","4908.0","25.1","17.1","12.97","3779.0","19.33","13.17","9.98","19552.0","68.13","51.66"
"83","1975","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","19350.0","71.35","57.08","41.07","4410.0","16.26","13.01","9.36","3358.0","12.38","9.91","7.13","27118.0","79.99","57.56"
"83","1976","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","27694.0","75.93","82.45","57.65","5079.0","13.93","15.12","10.57","3700.0","10.14","11.02","7.7","36473.0","108.58","75.92"
"83","1977","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","21772.0","63.42","62.21","44.01","7371.0","21.47","21.06","14.9","5188.0","15.11","14.82","10.49","34331.0","98.09","69.4"
"83","1978","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","34032.0","71.12","98.59","69.02","8224.0","17.19","23.82","16.68","5598.0","11.7","16.22","11.35","47854.0","138.63","97.05"
"83","1979","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","40121.0","66.51","121.58","85.0","13949.0","23.12","42.27","29.55","6257.0","10.37","18.96","13.26","60327.0","182.81","127.81"
"83","1980","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","31896.0","67.91","114.32","85.51","7739.0","16.48","27.74","20.75","7334.0","15.61","26.29","19.66","46969.0","168.35","125.92"
"83","1981","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","32945.0","66.41","114.0","85.35","7728.0","15.58","26.74","20.02","8939.0","18.02","30.93","23.16","49612.0","171.67","128.53"
"83","1982","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","21759.0","60.49","89.47","71.04","7754.0","21.56","31.88","25.32","6460.0","17.96","26.56","21.09","35973.0","147.92","117.44"
"83","1983","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","37365.0","64.65","124.63","93.18","10469.0","18.11","34.92","26.11","9960.0","17.23","33.22","24.84","57794.0","192.78","144.12"
"83","1984","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","39460.0","56.94","127.17","96.03","13437.0","19.39","43.3","32.7","16402.0","23.67","52.86","39.92","69299.0","223.33","168.65"
"83","1985","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","40713.0","60.43","130.99","97.26","13471.0","19.99","43.34","32.18","13188.0","19.57","42.43","31.51","67372.0","216.77","160.95"
"83","1986","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","32000.0","56.44","130.29","112.52","12500.0","22.05","50.9","43.95","12200.0","21.52","49.67","42.9","56700.0","230.86","199.37"
"83","1987","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","36594.0","53.86","131.82","108.04","15640.0","23.02","56.34","46.18","15710.0","23.12","56.59","46.38","67944.0","244.76","200.6"
"83","1988","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","32249.0","56.64","117.53","98.92","12713.0","22.33","46.33","39.0","11976.0","21.03","43.64","36.74","56938.0","207.5","174.66"
"83","1989","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","33145.0","56.67","124.89","104.66","12886.0","22.03","48.55","40.69","12458.0","21.3","46.94","39.34","58489.0","220.38","184.68"
"83","1990","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","36328.0","54.13","117.04","94.47","15300.0","22.8","49.29","39.79","15483.0","23.07","49.88","40.26","67111.0","216.22","174.51"
"83","1991","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","33364.0","55.23","101.5","79.31","14341.0","23.74","43.63","34.09","12704.0","21.03","38.65","30.2","60409.0","183.77","143.6"
"83","1992","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","36069.0","58.47","117.45","88.83","14395.0","23.34","46.87","35.45","11219.0","18.19","36.53","27.63","61683.0","200.85","151.91"
"83","1993","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","34634.0","56.92","105.36","82.33","13820.0","22.71","42.04","32.85","12390.0","20.36","37.69","29.45","60844.0","185.09","144.63"
"83","1994","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","38559.0","56.27","124.91","90.74","15710.0","22.92","50.89","36.97","14260.0","20.81","46.2","33.56","68529.0","222.0","161.27"
"83","1995","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","34713.0","58.36","115.52","89.49","12629.0","21.23","42.03","32.56","12138.0","20.41","40.39","31.29","59480.0","197.94","153.35"
"83","1996","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","35722.0","61.67","116.77","91.73","12690.0","21.91","41.48","32.59","9511.0","16.42","31.09","24.42","57923.0","189.34","148.75"
"83","1997","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","37692.0","57.97","123.76","97.39","14368.0","22.1","47.18","37.12","12955.0","19.93","42.54","33.47","65015.0","213.48","167.98"
"83","1998","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","41144.0","61.38","134.44","101.38","14507.0","21.64","47.4","35.74","11376.0","16.97","37.17","28.03","67027.0","219.01","165.15"
"83","1999","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","44690.0","57.11","152.14","116.76","17590.0","22.48","59.88","45.96","15972.0","20.41","54.37","41.73","78252.0","266.4","204.45"
"83","2000","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","47468.0","58.87","175.67","139.62","18832.0","23.35","69.69","55.39","14338.0","17.78","53.06","42.17","80638.0","298.43","237.18"
"83","2001","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","43030.0","58.89","159.21","126.27","16948.0","23.2","62.71","49.73","13088.0","17.91","48.43","38.4","73066.0","270.34","214.4"
"83","2002","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","32461.0","58.37","140.79","111.12","11722.0","21.08","50.84","40.13","11434.0","20.56","49.59","39.14","55617.0","241.22","190.38"
"83","2003","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","30932.0","54.36","141.02","104.23","13324.0","23.42","60.74","44.9","12646.0","22.22","57.65","42.61","56902.0","259.41","191.73"
"83","2004","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","42446.0","52.6","192.11","148.98","16074.0","19.92","72.75","56.42","22181.0","27.49","100.39","77.85","80701.0","365.25","283.24"
"83","2005","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","44364.0","50.18","176.24","133.04","20332.0","23.0","80.77","60.97","23711.0","26.82","94.2","71.1","88407.0","351.21","265.11"
"83","2006","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","42687.0","55.66","168.71","143.09","20241.0","26.39","80.0","67.85","13771.0","17.95","54.43","46.16","76699.0","303.13","257.09"
"83","2007","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","36821.0","46.5","153.34","136.77","20576.0","25.98","85.69","76.43","21788.0","27.52","90.73","80.93","79185.0","329.76","294.14"
"83","2008","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","37451.0","46.78","159.05","142.58","19260.0","24.06","81.8","73.32","23346.0","29.16","99.15","88.88","80057.0","340.0","304.78"
"83","2009","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","43210.0","58.18","190.4","169.9","17817.0","23.99","78.51","70.05","13245.0","17.83","58.36","52.08","74272.0","327.28","292.03"
"83","2010","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","44688.0","53.53","197.92","166.32","26175.0","31.35","115.93","97.42","12622.0","15.12","55.9","46.98","83485.0","369.75","310.72"
"83","2011","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","40291.0","58.3","185.66","155.09","19365.0","28.02","89.23","74.54","9457.0","13.68","43.58","36.4","69113.0","318.46","266.03"
"83","2012","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","42189.0","66.18","201.21","171.7","14687.0","23.04","70.04","59.77","6873.0","10.78","32.78","27.97","63749.0","304.03","259.45"
"83","2013","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","43956.0","66.89","208.32","163.2","14125.0","21.5","66.94","52.44","7630.0","11.61","36.16","28.33","65711.0","311.43","243.97"
"83","2014","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","42130.0","66.08","224.04","171.42","14755.0","23.14","78.46","60.04","6869.0","10.77","36.53","27.95","63754.0","339.03","259.41"
"83","2015","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","44942.0","64.64","212.64","158.79","16786.0","24.14","79.42","59.31","7797.0","11.21","36.89","27.55","69525.0","328.96","245.65"
"83","2016","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","41679.0","62.61","213.89","161.84","16691.0","25.07","85.66","64.81","8197.0","12.31","42.07","31.83","66567.0","341.61","258.48"
"83","2017","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","45358.0","62.5","-1.0","-1.0","17583.0","24.23","-1.0","-1.0","9635.0","13.28","-1.0","-1.0","72576.0","-1.0","-1.0"
"84","1966","11","Tamil Nadu","South Arcot / Cuddalore","5180.0","30.78","9.39","7.38","7749.0","46.05","14.04","11.04","3900.0","23.17","7.07","5.55","16829.0","30.49","23.97"
"84","1967","11","Tamil Nadu","South Arcot / Cuddalore","8838.0","56.4","15.78","12.41","3186.0","20.33","5.69","4.47","3645.0","23.26","6.51","5.12","15669.0","27.98","22.0"
"84","1968","11","Tamil Nadu","South Arcot / Cuddalore","16120.0","61.78","28.85","23.82","6184.0","23.7","11.07","9.14","3790.0","14.52","6.78","5.6","26094.0","46.7","38.56"
"84","1969","11","Tamil Nadu","South Arcot / Cuddalore","24753.0","70.6","42.87","35.04","6311.0","18.0","10.93","8.93","3997.0","11.4","6.92","5.66","35061.0","60.72","49.63"
"84","1970","11","Tamil Nadu","South Arcot / Cuddalore","21500.0","59.3","36.23","28.54","8311.0","22.92","14.01","11.03","6443.0","17.77","10.86","8.55","36254.0","61.1","48.12"
"84","1971","11","Tamil Nadu","South Arcot / Cuddalore","24568.0","65.58","40.33","32.51","6728.0","17.96","11.04","8.9","6165.0","16.46","10.12","8.16","37461.0","61.49","49.58"
"84","1972","11","Tamil Nadu","South Arcot / Cuddalore","25347.0","60.36","41.07","34.5","8864.0","21.11","14.36","12.06","7780.0","18.53","12.61","10.59","41991.0","68.03","57.15"
"84","1973","11","Tamil Nadu","South Arcot / Cuddalore","17261.0","57.71","29.47","23.29","6307.0","21.09","10.77","8.51","6341.0","21.2","10.82","8.56","29909.0","51.06","40.35"
"84","1974","11","Tamil Nadu","South Arcot / Cuddalore","18758.0","60.58","35.89","29.95","6473.0","20.91","12.38","10.33","5732.0","18.51","10.97","9.15","30963.0","59.24","49.43"
"84","1975","11","Tamil Nadu","South Arcot / Cuddalore","25133.0","70.12","46.48","36.19","5258.0","14.67","9.72","7.57","5450.0","15.21","10.08","7.85","35841.0","66.29","51.61"
"84","1976","11","Tamil Nadu","South Arcot / Cuddalore","21595.0","62.77","38.01","29.68","5970.0","17.35","10.51","8.21","6840.0","19.88","12.04","9.4","34405.0","60.56","47.29"
"84","1977","11","Tamil Nadu","South Arcot / Cuddalore","31240.0","62.74","54.32","42.24","8336.0","16.74","14.49","11.27","10217.0","20.52","17.77","13.82","49793.0","86.58","67.33"
"84","1978","11","Tamil Nadu","South Arcot / Cuddalore","31583.0","61.15","54.11","42.07","8649.0","16.75","14.82","11.52","11418.0","22.11","19.56","15.21","51650.0","88.49","68.8"
"84","1979","11","Tamil Nadu","South Arcot / Cuddalore","36494.0","63.11","61.75","46.73","9774.0","16.9","16.54","12.51","11556.0","19.98","19.55","14.8","57824.0","97.84","74.04"
"84","1980","11","Tamil Nadu","South Arcot / Cuddalore","34573.0","60.4","67.92","53.35","9607.0","16.78","18.87","14.83","13056.0","22.81","25.65","20.15","57236.0","112.45","88.33"
"84","1981","11","Tamil Nadu","South Arcot / Cuddalore","36113.0","59.48","64.83","51.08","10643.0","17.53","19.11","15.05","13962.0","22.99","25.07","19.75","60718.0","109.01","85.88"
"84","1982","11","Tamil Nadu","South Arcot / Cuddalore","21884.0","56.06","47.26","39.53","8338.0","21.36","18.0","15.06","8814.0","22.58","19.03","15.92","39036.0","84.29","70.51"
"84","1983","11","Tamil Nadu","South Arcot / Cuddalore","37775.0","59.12","71.37","53.23","12720.0","19.91","24.03","17.93","13400.0","20.97","25.32","18.88","63895.0","120.72","90.04"
"84","1984","11","Tamil Nadu","South Arcot / Cuddalore","43826.0","59.69","73.58","55.07","13599.0","18.52","22.83","17.09","15994.0","21.78","26.85","20.1","73419.0","123.27","92.26"
"84","1985","11","Tamil Nadu","South Arcot / Cuddalore","47182.0","57.37","79.22","59.37","18104.0","22.01","30.4","22.78","16959.0","20.62","28.47","21.34","82245.0","138.09","103.49"
"84","1986","11","Tamil Nadu","South Arcot / Cuddalore","48455.0","62.79","83.36","65.52","14432.0","18.7","24.83","19.51","14278.0","18.5","24.56","19.31","77165.0","132.75","104.33"
"84","1987","11","Tamil Nadu","South Arcot / Cuddalore","43258.0","57.21","76.06","60.87","16160.0","21.37","28.42","22.74","16190.0","21.41","28.47","22.78","75608.0","132.95","106.39"
"84","1988","11","Tamil Nadu","South Arcot / Cuddalore","46710.0","55.3","85.94","71.25","16802.0","19.89","30.91","25.63","20954.0","24.81","38.55","31.96","84466.0","155.41","128.84"
"84","1989","11","Tamil Nadu","South Arcot / Cuddalore","42178.0","51.93","74.24","54.46","17093.0","21.05","30.09","22.07","21943.0","27.02","38.63","28.33","81214.0","142.96","104.86"
"84","1990","11","Tamil Nadu","South Arcot / Cuddalore","44023.0","49.63","82.65","63.87","18635.0","21.01","34.99","27.04","26047.0","29.36","48.9","37.79","88705.0","166.54","128.7"
"84","1991","11","Tamil Nadu","South Arcot / Cuddalore","41056.0","49.97","68.37","52.23","16112.0","19.61","26.83","20.5","24989.0","30.42","41.62","31.79","82157.0","136.82","104.52"
"84","1992","11","Tamil Nadu","South Arcot / Cuddalore","51894.0","57.46","84.85","65.52","19931.0","22.07","32.59","25.16","18483.0","20.47","30.22","23.34","90308.0","147.66","114.02"
"84","1993","11","Tamil Nadu","South Arcot / Cuddalore","49147.0","55.35","81.85","62.53","18895.0","21.28","31.47","24.04","20750.0","23.37","34.56","26.4","88792.0","147.87","112.97"
"84","1994","11","Tamil Nadu","South Arcot / Cuddalore","56345.0","52.92","93.3","74.39","22516.0","21.15","37.28","29.73","27614.0","25.93","45.73","36.46","106475.0","176.31","140.58"
"84","1995","11","Tamil Nadu","South Arcot / Cuddalore","46875.0","55.26","82.05","67.69","16876.0","19.89","29.54","24.37","21081.0","24.85","36.9","30.44","84832.0","148.49","122.5"
"84","1996","11","Tamil Nadu","South Arcot / Cuddalore","60645.0","58.24","100.0","79.77","20914.0","20.09","34.49","27.51","22563.0","21.67","37.21","29.68","104122.0","171.69","136.96"
"84","1997","11","Tamil Nadu","South Arcot / Cuddalore","56744.0","54.14","96.94","78.64","22908.0","21.86","39.13","31.75","25165.0","24.01","42.99","34.87","104817.0","179.06","145.26"
"84","1998","11","Tamil Nadu","South Arcot / Cuddalore","60267.0","56.68","100.71","84.35","23209.0","21.83","38.78","32.48","22857.0","21.5","38.19","31.99","106333.0","177.68","148.83"
"84","1999","11","Tamil Nadu","South Arcot / Cuddalore","61824.0","54.94","108.14","91.49","25822.0","22.95","45.17","38.21","24890.0","22.12","43.54","36.83","112536.0","196.84","166.54"
"84","2000","11","Tamil Nadu","South Arcot / Cuddalore","68405.0","52.24","120.11","102.23","26303.0","20.09","46.19","39.31","36236.0","27.67","63.63","54.15","130944.0","229.92","195.69"
"84","2001","11","Tamil Nadu","South Arcot / Cuddalore","64675.0","55.83","113.86","96.26","25598.0","22.1","45.07","38.1","25578.0","22.08","45.03","38.07","115851.0","203.96","172.43"
"84","2002","11","Tamil Nadu","South Arcot / Cuddalore","48430.0","57.51","105.12","88.37","16646.0","19.77","36.13","30.37","19130.0","22.72","41.52","34.91","84206.0","182.78","153.65"
"84","2003","11","Tamil Nadu","South Arcot / Cuddalore","51005.0","54.32","102.05","80.97","22013.0","23.44","44.04","34.95","20885.0","22.24","41.79","33.16","93903.0","187.88","149.08"
"84","2004","11","Tamil Nadu","South Arcot / Cuddalore","62562.0","50.09","116.77","96.22","31177.0","24.96","58.19","47.95","31165.0","24.95","58.17","47.93","124904.0","233.14","192.11"
