"Dist Code","Year","State Code","State Name","Dist Name","PRIMARY SECTOR CONSTANT PRICES (Millions in Rs)","PRIMARY SECTOR CURRENT PRICES (Millions in Rs)","PRIMARY SECTOR CONSTANT SHARES (Percent)","PRIMARY SECTOR CURRENT SHARES (Percent)","SECONDARY SECTOR CONSTANT PRICES (Millions in Rs)","SECONDARY SECTOR CURRENT PRICES (Millions in Rs)","SECONDARY SECTOR CONSTANT SHARES (Percent)","SECONDARY SECTOR CURRENT SHARES (Percent)","TERTIARY SECTOR CONSTANT PRICES (Millions in Rs)","TERTIARY SECTOR CURRENT PRICES (Millions in Rs)","TERTIARY SECTOR CONSTANT SHARES (Percent)","TERTIARY SECTOR CURRENT SHARES (Percent)","TOTAL CONSTANT PRICES (Millions in Rs)","TOTAL CURRENT PRICES (Millions in Rs)","PER CAPITA CURRENT PRICES (1000 in Rs)"
"83","2007 (2004)","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","7820","10917","4.67","5.7","40542","47795","24.19","24.97","119215","132670","71.14","69.32","167577","191383","55"
"83","2008 (2004)","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","7000","11431","3.79","5.0","40907","52266","22.14","22.87","136817","164862","74.07","72.13","184725","228560","63"
"83","2009 (2004)","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5917","11859","2.91","4.4","49477","65697","24.31","24.39","148135","191772","72.78","71.2","203530","269328","72"
"83","2010 (2004)","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5564","12781","2.22","3.59","59862","85566","23.88","24.03","185301","257733","73.91","72.38","250727","356080","92"
"83","2011 (2004)","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5813","13405","2.08","3.17","66386","102879","23.72","24.3","207691","307096","74.2","72.53","279890","423380","106"
"83","2012 (2004)","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5225","12495","1.7","2.46","73953","123770","24.01","24.34","228791","372337","74.29","73.21","307969","508602","123"
"83","2013 (2004)","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","5361","14067","1.59","2.34","75923","134275","22.54","22.36","255483","452301","75.86","75.3","336767","600643","140"
"84","2007 (2004)","11","Tamil Nadu","South Arcot / Cuddalore","9512","13234","14.03","16.68","19356","23165","28.55","29.19","38928","42960","57.42","54.13","67796","79359","32"
"84","2008 (2004)","11","Tamil Nadu","South Arcot / Cuddalore","8107","13159","11.75","14.97","18441","24513","26.73","27.88","42435","50244","61.52","57.15","68983","87917","35"
"84","2009 (2004)","11","Tamil Nadu","South Arcot / Cuddalore","8642","17341","11.16","16.32","21177","29212","27.36","27.49","47594","59704","61.48","56.19","77413","106257","42"
"84","2010 (2004)","11","Tamil Nadu","South Arcot / Cuddalore","11051","25751","12.48","19.5","25005","37208","28.25","28.17","52460","69110","59.27","52.33","88517","132069","51"
"84","2011 (2004)","11","Tamil Nadu","South Arcot / Cuddalore","10974","25701","11.42","17.16","28949","46297","30.11","30.92","56213","77736","58.47","51.92","96136","149734","57"
"84","2012 (2004)","11","Tamil Nadu","South Arcot / Cuddalore","9114","22284","9.28","13.61","31768","55033","32.35","33.61","57313","86434","58.37","52.78","98196","163750","62"
"84","2013 (2004)","11","Tamil Nadu","South Arcot / Cuddalore","8907","24127","8.81","13.35","31958","58808","31.6","32.54","60255","97783","59.59","54.11","101120","180718","68"
"85","2007 (2004)","11","Tamil Nadu","North Arcot / Vellore","10447","14913","10.5","12.89","28675","33819","28.83","29.23","60354","66967","60.67","57.88","99475","115699","31"
"85","2008 (2004)","11","Tamil Nadu","North Arcot / Vellore","9885","16610","9.7","12.89","28181","36048","27.64","27.98","63887","76199","62.66","59.13","101953","128857","34"
"85","2009 (2004)","11","Tamil Nadu","North Arcot / Vellore","9509","19865","8.57","13.18","33614","44710","30.3","29.67","67820","86131","61.13","57.15","110942","150706","39"
"85","2010 (2004)","11","Tamil Nadu","North Arcot / Vellore","5732","14700","4.89","8.78","39582","56655","33.79","33.85","71842","96020","61.32","57.37","117156","167375","43"
"85","2011 (2004)","11","Tamil Nadu","North Arcot / Vellore","6034","15619","4.99","8.51","41298","64153","34.14","34.96","73638","103731","60.87","56.53","120970","183502","47"
"85","2012 (2004)","11","Tamil Nadu","North Arcot / Vellore","5348","14671","4.27","7.18","45020","75565","35.97","36.98","74776","114081","59.75","55.84","125144","204318","51"
"85","2013 (2004)","11","Tamil Nadu","North Arcot / Vellore","5562","16798","4.28","7.39","45898","81409","35.32","35.82","78482","129052","60.4","56.79","129942","227259","56"
"86","2007 (2004)","11","Tamil Nadu","Salem","13028","18396","11.01","13.42","41357","48334","34.95","35.27","63931","70324","54.03","51.31","118316","137054","42"
"86","2008 (2004)","11","Tamil Nadu","Salem","12436","20480","10.19","13.4","40582","51107","33.26","33.43","68981","81299","56.54","53.18","121999","152887","46"
