"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","TOTAL AREA (1000 ha)"
"83","1966","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","9.0","0.0","0.0","0.0","0.0","-1.0","9.0"
"83","1967","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","25.0","0.0","0.1","0.6","0.0","-1.0","25.7"
"83","1968","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","76.0","0.0","0.1","4.5","0.2","-1.0","80.8"
"83","1969","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","148.0","0.0","0.4","7.6","0.1","-1.0","156.1"
"83","1970","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","233.0","0.0","0.0","10.0","0.0","-1.0","243.0"
"83","1971","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","270.0","0.0","0.0","8.0","0.0","-1.0","278.0"
"83","1972","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","260.0","0.0","0.0","24.0","0.0","-1.0","284.0"
"83","1973","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","215.0","0.0","0.0","24.8","0.0","-1.0","239.8"
"83","1974","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","201.0","0.0","0.0","1.1","0.0","-1.0","202.1"
"83","1975","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","250.0","0.0","0.0","9.7","0.5","-1.0","260.2"
"83","1976","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","315.0","0.0","0.0","7.2","0.8","-1.0","323.0"
"83","1977","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","295.0","0.0","0.2","8.8","0.4","-1.0","304.4"
"83","1978","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","301.0","0.0","0.4","8.4","0.0","-1.0","309.8"
"83","1979","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","290.7","0.0","0.2","9.3","0.0","-1.0","300.2"
"83","1980","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","256.6","0.0","0.7","10.6","0.0","-1.0","267.9"
"83","1981","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","235.0","0.0","0.6","8.6","0.0","-1.0","244.2"
"83","1982","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","148.3","0.0","0.2","3.9","0.0","0.0","152.4"
"83","1983","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","259.6","0.0","0.5","6.7","0.0","-1.0","266.8"
"83","1984","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","269.4","0.0","0.5","7.4","0.0","5.68","282.98"
"83","1985","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","250.8","0.0","0.2","1.6","0.0","-1.0","252.6"
"83","1986","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","152.4","0.0","0.1","0.9","0.0","0.62","154.02"
"83","1987","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","206.9","0.0","0.4","1.7","0.0","-1.0","209.0"
"83","1988","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","201.5","0.0","0.6","2.5","0.0","2.36","206.96"
"83","1989","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","202.3","0.0","0.4","2.4","0.0","4.56","209.66"
"83","1990","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","222.47","0.0","0.24","2.18","0.0","6.95","231.84"
"83","1991","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","256.36","0.0","0.32","1.61","0.0","6.54","264.83"
"83","1992","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","230.65","0.0","0.04","0.86","0.0","5.48","237.03"
"83","1993","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","285.79","0.0","0.03","1.02","0.0","5.11","291.94"
"83","1994","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","252.89","0.0","0.13","0.91","0.0","5.03","258.96"
"83","1995","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","249.0","0.0","0.0","1.0","0.0","3.0","253.0"
"83","1996","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","257.0","0.0","0.0","1.0","0.0","2.0","260.0"
"83","1997","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","261.94","0.0","0.08","0.69","0.0","2.1","264.81"
"83","1998","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","262.9","0.0","0.1","0.9","0.0","4.0","267.9"
"83","1999","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","250.2","0.0","0.1","0.8","0.0","2.6","253.7"
"83","2000","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","222.4","0.0","0.0","1.0","0.0","2.3","225.7"
"83","2001","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","225.8","0.0","0.1","1.3","0.0","1.4","228.6"
"83","2002","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","184.0","0.0","0.0","1.5","0.0","1.4","186.9"
"83","2003","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","172.0","0.0","0.1","1.8","0.0","1.9","175.8"
"83","2004","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","167.15","0.0","0.19","1.98","0.0","1.06","170.37"
"83","2005","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","211.06","0.0","0.19","1.46","0.0","0.82","213.55"
"83","2006","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","189.58","0.0","0.13","1.15","0.0","0.46","191.32"
"83","2007","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","167.38","0.0","0.1","0.92","0.0","0.32","168.73"
"83","2008","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","170.26","0.0","0.1","0.61","0.0","0.0","171.0"
"83","2009","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","165.98","-1.0","0.05","0.29","-1.0","0.2","166.53"
"83","2010","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","178.96","-1.0","0.06","0.32","-1.0","0.43","179.78"
"84","1966","11","Tamil Nadu","South Arcot / Cuddalore","5.0","0.0","0.6","0.0","0.0","-1.0","5.6"
"84","1967","11","Tamil Nadu","South Arcot / Cuddalore","20.0","0.0","0.3","1.6","0.0","-1.0","21.9"
"84","1968","11","Tamil Nadu","South Arcot / Cuddalore","36.0","0.0","0.3","2.0","0.2","-1.0","38.5"
"84","1969","11","Tamil Nadu","South Arcot / Cuddalore","108.0","0.0","0.6","4.2","0.3","-1.0","113.1"
"84","1970","11","Tamil Nadu","South Arcot / Cuddalore","216.0","0.0","0.3","8.0","0.4","-1.0","224.7"
"84","1971","11","Tamil Nadu","South Arcot / Cuddalore","243.0","0.0","0.1","20.0","0.1","-1.0","263.2"
"84","1972","11","Tamil Nadu","South Arcot / Cuddalore","133.0","0.0","0.0","37.3","0.0","-1.0","170.3"
"84","1973","11","Tamil Nadu","South Arcot / Cuddalore","195.0","0.0","0.2","19.2","0.0","-1.0","214.4"
"84","1974","11","Tamil Nadu","South Arcot / Cuddalore","203.0","0.0","0.0","10.6","0.0","-1.0","213.6"
"84","1975","11","Tamil Nadu","South Arcot / Cuddalore","251.0","0.0","3.2","5.5","1.4","-1.0","261.1"
"84","1976","11","Tamil Nadu","South Arcot / Cuddalore","281.0","0.0","3.2","14.4","2.4","-1.0","301.0"
"84","1977","11","Tamil Nadu","South Arcot / Cuddalore","292.0","0.0","2.4","32.4","0.4","-1.0","327.2"
"84","1978","11","Tamil Nadu","South Arcot / Cuddalore","305.0","0.0","0.8","34.0","0.1","-1.0","339.9"
"84","1979","11","Tamil Nadu","South Arcot / Cuddalore","284.2","0.0","6.6","39.9","0.4","-1.0","331.1"
"84","1980","11","Tamil Nadu","South Arcot / Cuddalore","187.4","0.0","8.0","42.6","0.4","-1.0","238.4"
"84","1981","11","Tamil Nadu","South Arcot / Cuddalore","257.3","0.0","11.2","55.8","0.4","-1.0","324.7"
"84","1982","11","Tamil Nadu","South Arcot / Cuddalore","127.0","0.0","6.8","43.1","0.1","8.8","185.8"
"84","1983","11","Tamil Nadu","South Arcot / Cuddalore","233.7","0.0","5.2","66.0","0.1","-1.0","305.0"
"84","1984","11","Tamil Nadu","South Arcot / Cuddalore","242.5","0.0","5.0","72.9","0.1","7.23","327.73"
"84","1985","11","Tamil Nadu","South Arcot / Cuddalore","293.4","0.0","14.4","40.7","0.0","-1.0","348.5"
"84","1986","11","Tamil Nadu","South Arcot / Cuddalore","281.0","0.0","16.9","56.3","0.1","9.63","363.93"
"84","1987","11","Tamil Nadu","South Arcot / Cuddalore","235.3","0.0","8.3","52.5","0.0","-1.0","296.1"
"84","1988","11","Tamil Nadu","South Arcot / Cuddalore","197.6","0.0","6.0","57.2","0.0","3.71","264.51"
"84","1989","11","Tamil Nadu","South Arcot / Cuddalore","211.9","0.0","9.4","58.3","0.0","8.78","288.38"
"84","1990","11","Tamil Nadu","South Arcot / Cuddalore","179.94","0.0","6.07","65.68","0.0","4.19","255.88"
"84","1991","11","Tamil Nadu","South Arcot / Cuddalore","233.31","0.0","5.07","61.57","0.0","4.03","303.98"
"84","1992","11","Tamil Nadu","South Arcot / Cuddalore","241.88","0.0","4.28","52.51","0.0","5.49","304.16"
"84","1993","11","Tamil Nadu","South Arcot / Cuddalore","131.95","0.0","6.08","58.46","0.0","4.77","201.26"
"84","1994","11","Tamil Nadu","South Arcot / Cuddalore","236.02","0.0","5.77","56.69","0.0","3.27","301.75"
"84","1995","11","Tamil Nadu","South Arcot / Cuddalore","221.0","0.0","7.0","48.0","0.0","2.0","278.0"
"84","1996","11","Tamil Nadu","South Arcot / Cuddalore","293.0","0.0","5.0","43.0","0.0","3.0","344.0"
"84","1997","11","Tamil Nadu","South Arcot / Cuddalore","285.7","0.0","2.95","36.3","0.0","2.0","326.95"
"84","1998","11","Tamil Nadu","South Arcot / Cuddalore","276.3","0.0","1.0","40.5","0.0","1.8","319.6"
"84","1999","11","Tamil Nadu","South Arcot / Cuddalore","272.4","0.0","1.6","28.5","0.0","1.9","304.4"
"84","2000","11","Tamil Nadu","South Arcot / Cuddalore","267.8","0.0","1.8","24.4","0.0","2.2","296.2"
